x,y,cell_id,postcode,county,town,suburb,road,box_1,box_2,box_3,box_4
-2.2847033,53.5857964,-7.627652583129102e+18,BL9 9BY,Greater Manchester,Bury,Gigg,Valley Mill Lane,53.5856033,53.5861484,-2.2849813,-2.2832497
-2.284782,53.597481,1.0832646525808116e+18,BL9 6BB,Greater Manchester,Bury,Fernhill,Bell Lane,53.5969249,53.5973307,-2.2887507,-2.2815356
-2.2848183,53.6028739,7.431918168410472e+18,BL9 6EJ,Greater Manchester,Bury,Chesham,Haslam Street,53.6024777,53.6040973,-2.2854663,-2.2848827
-2.2825691,53.4923224,5.580962696491849e+18,M6 6LS,Greater Manchester,Unknown,Pendleton,Gloucester Street,53.4921336,53.4928906,-2.2836578,-2.2818638
-2.283253,53.5947882,4.367940649500426e+18,BL9 7BW,Greater Manchester,Bury,Chesham,Cork Street,53.5951229,53.5952229,-2.2838563,-2.2837563
-2.2811809,53.5103025,7.958950431632166e+17,M7 3QQ,Greater Manchester,Unknown,Higher Broughton,Oaklands Road,53.5105165,53.5106165,-2.2818069,-2.2817069
-2.281796,53.6028811,7.759971001905805e+18,BL9 6NS,Greater Manchester,Bury,Chesham,Green Brook Close,53.602768,53.6032926,-2.2824794,-2.2813121
-2.2783244,53.5345779,-6.832291775211742e+18,M25 1JZ,Greater Manchester,Prestwich,Heaton Park,Heys Road,53.5341514,53.5355024,-2.2787673,-2.2747339
-2.27875,53.5992929,-2.3726837257221924e+18,BL9 6JB,Greater Manchester,Bury,Chesham,Back Huntley Mount Road,53.5989494,53.6008506,-2.2788681,-2.2786889
-2.2767101,53.5184025,1.903756156553698e+18,M25 9WS,Greater Manchester,Prestwich,Unknown,George Street,53.5183485,53.5188111,-2.2768919,-2.2719082
-2.2756869,53.5930082,4.381921428435129e+18,BL9 7DQ,Greater Manchester,Bury,Fairfield,Wash Lane Terrace,53.5924682,53.5930499,-2.2767223,-2.2750872
-2.2741703,53.5921129,-3.883735553573276e+17,BL9 7HP,Greater Manchester,Bury,Fairfield,Rochdale Road,53.5917693,53.5919536,-2.2746259,-2.2728668
-2.2636453,53.600226,6.112363546352036e+18,BL9 7SD,Greater Manchester,Bury,Jericho,Rochdale Old Road,53.5988769,53.6003811,-2.2641921,-2.2620624
